IDfg,Season,Name,Age,wOBA_proj,wOBA_proj_lower,wOBA_proj_upper,wOBA_marcel,wOBA_actual_2024,Team,error
11609,2024,Willson Contreras,32,0.39106774936824334,0.342182841046631,0.43951753795494153,0.3280915858385496,0.37,STL,0.02106774936824335
11615,2024,Brandon Drury,31,0.3326706537522255,0.28474002034331514,0.38043059694677017,0.3215520946038975,0.217,LAA,0.11567065375222549
11680,2024,Elias Diaz,33,0.3489713449646831,0.2989442933911184,0.3981665146582933,0.3063061961200018,0.303,- - -,0.04597134496468308
11737,2024,Nick Castellanos,32,0.34127292775089735,0.293645442920353,0.388601647825751,0.32325771894041544,0.321,PHI,0.02027292775089734
11739,2024,J.T. Realmuto,33,0.3418193429433981,0.29294592294391586,0.3902313813658192,0.3214776484666083,0.326,PHI,0.015819342943398096
11899,2024,Joc Pederson,32,0.36932636605093383,0.32108608732644284,0.4168009981583266,0.32129391596369095,0.391,ARI,0.021673633949066184
12005,2024,Nick Martini,34,0.3556413766918318,0.30454593210333725,0.4060233338233822,0.31191622796827523,0.279,CIN,0.0766413766918318
12037,2024,Jon Berti,34,0.27886936613148766,0.224417446432181,0.3325242010710599,0.3057281025193408,0.3,NYY,0.021130633868512327
12144,2024,Max Kepler,31,0.3512843214564264,0.30268493892302717,0.3996824822643382,0.3130745395460683,0.298,MIN,0.05328432145642642
12147,2024,Nick Ahmed,34,0.29529857451492986,0.24683758502682973,0.342644137199222,0.29068759050428017,0.248,- - -,0.04729857451492986
12155,2024,Eddie Rosario,32,0.33251576889889956,0.2837307128158031,0.3800690370370711,0.3051992964436384,0.23,- - -,0.10251576889889955
12158,2024,Austin Barnes,34,0.2766487900542585,0.2273078847744572,0.32584026007908073,0.2949127548436683,0.289,LAD,0.01235120994574146
12161,2024,Xander Bogaerts,31,0.3359472738764677,0.2874368555807185,0.38366039329164753,0.3328887323062692,0.3,SDP,0.035947273876467734
12434,2024,Kevin Pillar,35,0.34046372658080276,0.2924716120545701,0.3877838434932138,0.3031059664515338,0.293,- - -,0.04746372658080278
12510,2024,Curt Casali,35,0.3021253785283448,0.25382398667721695,0.35010876072085556,0.2977866559775761,0.254,SFG,0.04812537852834481
12533,2024,Marcus Semien,33,0.36124339285818785,0.313317239876337,0.40871095818167247,0.32867610132544206,0.306,TEX,0.055243392858187856
12552,2024,Eugenio Suarez,32,0.34824208472747337,0.2995124598336976,0.3962768023648127,0.31392084497937656,0.337,ARI,0.011242084727473345
12564,2024,Trevor Story,31,0.3159317146408089,0.26674271682886264,0.36561513658143846,0.3081737167365095,0.318,BOS,0.0020682853591911243
12856,2024,George Springer,34,0.3518170782999141,0.3034286285851613,0.3997854790399139,0.3228876234977114,0.298,TOR,0.05381707829991411
12859,2024,James McCann,34,0.28676135380679213,0.2383374596734969,0.3354758940760747,0.29242609681335596,0.288,BAL,0.0012386461932078485
12861,2024,Anthony Rendon,34,0.32500649665331127,0.2768559839536053,0.3729395286204395,0.3065468703890349,0.264,LAA,0.06100649665331126
12916,2024,Francisco Lindor,30,0.36314724676652266,0.3140375786596817,0.41123736317272064,0.32360440931526296,0.363,NYM,1.4724676652266844e-4
12927,2024,Brandon Nimmo,31,0.38188291930998075,0.3327762221233313,0.4304173213680833,0.33332979397758666,0.321,NYM,0.06088291930998074
12976,2024,Austin Hedges,31,0.2679190881174497,0.2194555556979584,0.31606278563945367,0.27369373257886764,0.191,CLE,0.07691908811744969
12979,2024,Javier Baez,31,0.30333716509409703,0.2552763562338154,0.3514004175434998,0.2976363098707493,0.224,DET,0.07933716509409702
13066,2024,Teoscar Hernandez,31,0.3655839719529308,0.316374928870911,0.41426749750175995,0.32311782995043503,0.36,LAD,0.005583971952930811
13145,2024,Josh Bell,31,0.33673825684274633,0.28797027341196885,0.3848723430530757,0.3223001061203738,0.317,- - -,0.019738256842746327
13152,2024,Jorge Polanco,30,0.3450404496405399,0.2966348739566225,0.39345256437298026,0.322162207219089,0.287,SEA,0.05804044964053995
13185,2024,Orlando Arcia,29,0.31354214375274087,0.2641870452252991,0.3625476097660246,0.3084399746067276,0.273,ATL,0.040542143752740845
13301,2024,Max Muncy,33,0.3628038808841634,0.31347914290459394,0.41224316059377064,0.3258451343989507,0.362,LAD,8.038808841633882e-4
13324,2024,Ildemaro Vargas,32,0.26622694136213987,0.21126354370523315,0.3202090983685427,0.29903537952519005,0.271,WSN,0.00477305863786015
13338,2024,Omar Narvaez,32,0.3510561669263193,0.30187558150028593,0.3994772672326862,0.29841890441258334,0.171,NYM,0.1800561669263193
13355,2024,Luke Maile,33,0.2893367799395853,0.2400707279488098,0.3378297398298074,0.29722978338026784,0.241,CIN,0.048336779939585295
13419,2024,Christian Walker,33,0.3315366044984435,0.28040541727156687,0.38199061889604674,0.323942320520001,0.343,ARI,0.011463395501556506
13510,2024,Jose Ramirez,31,0.3664647415349306,0.3181298875369677,0.41481921165645563,0.3349758083662192,0.364,CLE,0.0024647415349305923
13590,2024,Jesse Winker,30,0.32714425366409056,0.27754362552604656,0.376479716271678,0.3167247164240085,0.338,- - -,0.010855746335909466
13602,2024,Patrick Wisdom,32,0.36378638299662114,0.3082845608705221,0.4181419659360806,0.31507102679778565,0.271,CHC,0.09278638299662112
13611,2024,Mookie Betts,31,0.41681687041281745,0.36854892616551505,0.46323412048215695,0.35236580435924747,0.371,LAD,0.045816870412817456
13613,2024,Ketel Marte,30,0.3767634889176493,0.3285158636022316,0.42452883594579793,0.3278475046287006,0.391,ARI,0.014236511082350689
13620,2024,Carson Kelly,29,0.27744890998162447,0.2263894508576637,0.32857028075503253,0.2982938325864539,0.304,- - -,0.026551090018375523
13621,2024,Jeimer Candelario,30,0.3078102590842967,0.2579123417828199,0.35748580094710714,0.315702435833222,0.304,CIN,0.0038102590842967188
13624,2024,Corey Seager,30,0.4121007106597564,0.3637581212544677,0.45991166386368876,0.3423142354459907,0.365,TEX,0.047100710659756406
13675,2024,Tyrone Taylor,30,0.32837667312065905,0.2736197602033177,0.3814870945294127,0.30805443335253474,0.304,NYM,0.024376673120659054
13723,2024,Jacob Stallings,34,0.2810765161380376,0.22658476093268728,0.3341101567267741,0.2925515391382667,0.353,COL,0.0719234838619624
13755,2024,Tomas Nido,30,0.18547711677917836,0.13414327587509867,0.2359483300206137,0.28787350331986084,0.231,- - -,0.04552288322082165
13757,2024,Chris Taylor,33,0.3047778334613603,0.25646663645304996,0.35261730668854213,0.31167236402355714,0.272,LAD,0.03277783346136026
13768,2024,Travis Jankowski,33,0.2874194669518645,0.23860295053865668,0.33587690526233,0.3035266965161424,0.234,TEX,0.053419466951864475
13770,2024,Rob Refsnyder,33,0.29312300526528695,0.2428573524321503,0.3422703274433973,0.3114910386109204,0.358,BOS,0.06487699473471303
14111,2024,Eric Haase,31,0.28285120124763136,0.2280665426878988,0.33551749277810244,0.29757858687713146,0.35,MIL,0.06714879875236862
14128,2024,Joey Gallo,30,0.3391515341017293,0.29046387070086155,0.3873191078130463,0.31137154405356127,0.276,WSN,0.0631515341017293
14130,2024,Daniel Vogelbach,31,0.3508720599806006,0.2992095891337927,0.4011451588043464,0.3173518589621682,0.262,TOR,0.0888720599806006
14161,2024,Byron Buxton,30,0.33186362494072763,0.28251627642651694,0.3797059195917816,0.3217896500706243,0.366,MIN,0.03413637505927236
14162,2024,Carlos Correa,29,0.3565051793825401,0.30767003934978465,0.4047967897880422,0.32442331801632535,0.385,MIN,0.028494820617459893
14221,2024,Jorge Soler,32,0.3646640401952435,0.3163119218817389,0.4124033993317857,0.3209996771530643,0.34,- - -,0.024664040195243486
14274,2024,Mitch Haniger,33,0.35345169260769205,0.3042290208300768,0.4024847963379589,0.3098818125804288,0.277,SEA,0.07645169260769202
14344,2024,Matt Olson,30,0.37711319332532434,0.3276336729650872,0.4257166665418384,0.34948997634502166,0.339,ATL,0.03811319332532431
